date,finland_total,finland_new,sweden_total,sweden_new
2020-06-28,7236,2,66392,420
2020-06-29,7243,7,67119,727
2020-06-30,7259,16,67924,805
2020-07-01,7269,10,68608,684
2020-07-02,7271,2,69297,689
2020-07-03,7278,7,69996,699
2020-07-04,7284,6,70366,370
2020-07-05,7286,2,70681,315
2020-07-06,7289,3,70932,251
2020-07-07,7297,8,71210,278
2020-07-08,7300,3,71747,537
2020-07-09,7309,9,72082,335
2020-07-10,7317,8,72459,377
2020-07-11,7323,6,72773,314
2020-07-12,7323,0,72879,106
2020-07-13,7327,4,73049,170
2020-07-14,7333,6,73364,315
2020-07-15,7338,5,73663,299
2020-07-16,7343,5,73936,273
2020-07-17,7352,9,74235,299
2020-07-18,7358,6,74435,200
2020-07-19,7365,7,74545,110
2020-07-20,7370,5,74676,131
2020-07-21,7382,12,74902,226
2020-07-22,7390,8,75199,297
2020-07-23,7401,11,75419,220
2020-07-24,7404,3,75681,262
2020-07-25,7414,10,75819,138
2020-07-26,7418,4,75861,42
2020-07-27,7426,8,75932,71
2020-07-28,7438,12,76215,283
2020-07-29,7447,9,76516,301
2020-07-30,7459,12,76818,302
2020-07-31,7467,8,77076,258
2020-08-01,7485,18,77379,303
2020-08-02,7500,15,77417,38
2020-08-03,7510,10,77582,165
2020-08-04,7545,35,77916,334
2020-08-05,7567,22,78341,425
2020-08-06,7596,29,78719,378
2020-08-07,7618,22,79099,380
2020-08-08,7635,17,79359,260
2020-08-09,7644,9,79432,73
2020-08-10,7679,35,79628,196
2020-08-11,7694,15,80045,417
2020-08-12,7722,28,80489,444
2020-08-13,7749,27,80851,362
2020-08-14,7770,21,81195,344
2020-08-15,7797,27,81421,226
2020-08-16,7811,14,81484,63
2020-08-17,7854,43,81658,174
2020-08-18,7881,27,81972,314
2020-08-19,7920,39,82323,351
2020-08-20,7967,47,82656,333
2020-08-21,7994,27,82954,298
